Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002288
Software Version:,,,"2.0,  Build 67"
Firmware Version:,,,2.0.012
Method Name:,,,<Default Method>
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"July 01, 2024 1:59 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,370.0 nm
End Wavelength:,,,780.0 nm
Wavelength Interval:,,,1.0 nm
Scan Speed:,,,1200 nm/min

,Sample Name,,Description
1,Sample 1-1,,1112-1-1-0V
2,Sample 2-1,,1112-1-1-5V
3,Sample 3-1,,1112-1-1-11V
4,Sample 4-1,,1112-1-2-0V
5,Sample 5-1,,1112-1-2-11V
6,Sample 6-1,,1112-1-2-5V

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6
418.0,0.0811,0.1005,0.1037,0.0800,0.1049,0.1010
419.0,0.0791,0.0999,0.1027,0.0791,0.1040,0.1003
420.0,0.0774,0.0991,0.1017,0.0783,0.1028,0.0992
421.0,0.0762,0.0979,0.1005,0.0779,0.1017,0.0978
422.0,0.0757,0.0963,0.0993,0.0776,0.1003,0.0965
423.0,0.0755,0.0942,0.0976,0.0773,0.0986,0.0946
424.0,0.0758,0.0921,0.0960,0.0771,0.0975,0.0932
425.0,0.0761,0.0897,0.0940,0.0769,0.0960,0.0916
426.0,0.0765,0.0878,0.0921,0.0769,0.0943,0.0898
427.0,0.0761,0.0861,0.0904,0.0767,0.0927,0.0881
428.0,0.0758,0.0848,0.0887,0.0761,0.0908,0.0864
429.0,0.0752,0.0841,0.0874,0.0752,0.0890,0.0852
430.0,0.0742,0.0835,0.0862,0.0739,0.0874,0.0842
431.0,0.0730,0.0832,0.0853,0.0724,0.0860,0.0834
432.0,0.0717,0.0829,0.0845,0.0710,0.0849,0.0829
433.0,0.0706,0.0825,0.0838,0.0698,0.0838,0.0821
434.0,0.0698,0.0822,0.0835,0.0691,0.0833,0.0817
435.0,0.0687,0.0814,0.0828,0.0684,0.0823,0.0807
436.0,0.0680,0.0808,0.0822,0.0680,0.0817,0.0800
437.0,0.0677,0.0798,0.0815,0.0677,0.0811,0.0791
438.0,0.0674,0.0787,0.0807,0.0677,0.0805,0.0783
439.0,0.0676,0.0773,0.0798,0.0676,0.0802,0.0775
440.0,0.0677,0.0759,0.0787,0.0676,0.0798,0.0770
441.0,0.0677,0.0747,0.0777,0.0676,0.0793,0.0763
442.0,0.0676,0.0740,0.0769,0.0677,0.0789,0.0758
443.0,0.0674,0.0734,0.0762,0.0678,0.0787,0.0753
444.0,0.0668,0.0733,0.0757,0.0677,0.0782,0.0751
445.0,0.0664,0.0734,0.0755,0.0675,0.0780,0.0750
446.0,0.0656,0.0736,0.0756,0.0667,0.0776,0.0751
447.0,0.0651,0.0741,0.0758,0.0661,0.0776,0.0753
448.0,0.0644,0.0746,0.0762,0.0653,0.0777,0.0755
449.0,0.0639,0.0750,0.0765,0.0647,0.0778,0.0757
450.0,0.0636,0.0754,0.0770,0.0643,0.0778,0.0758
451.0,0.0633,0.0755,0.0773,0.0639,0.0778,0.0757
452.0,0.0633,0.0755,0.0776,0.0636,0.0778,0.0755
453.0,0.0633,0.0755,0.0778,0.0636,0.0779,0.0754
454.0,0.0634,0.0752,0.0778,0.0633,0.0780,0.0752
455.0,0.0635,0.0748,0.0776,0.0631,0.0779,0.0750
456.0,0.0637,0.0743,0.0775,0.0630,0.0781,0.0748
457.0,0.0638,0.0739,0.0772,0.0629,0.0783,0.0748
458.0,0.0641,0.0736,0.0770,0.0630,0.0786,0.0749
459.0,0.0641,0.0734,0.0767,0.0630,0.0787,0.0749
460.0,0.0638,0.0734,0.0767,0.0631,0.0790,0.0750
461.0,0.0635,0.0736,0.0766,0.0632,0.0792,0.0752
462.0,0.0629,0.0738,0.0766,0.0629,0.0794,0.0754
463.0,0.0625,0.0742,0.0769,0.0627,0.0797,0.0757
464.0,0.0619,0.0746,0.0772,0.0624,0.0799,0.0762
465.0,0.0614,0.0751,0.0776,0.0621,0.0803,0.0765
466.0,0.0610,0.0756,0.0781,0.0618,0.0807,0.0771
467.0,0.0605,0.0759,0.0785,0.0616,0.0812,0.0774
468.0,0.0602,0.0761,0.0790,0.0616,0.0815,0.0776
469.0,0.0601,0.0763,0.0793,0.0616,0.0817,0.0777
470.0,0.0602,0.0764,0.0798,0.0618,0.0818,0.0777
471.0,0.0605,0.0765,0.0801,0.0619,0.0820,0.0777
472.0,0.0607,0.0765,0.0803,0.0619,0.0822,0.0777
473.0,0.0609,0.0766,0.0806,0.0618,0.0822,0.0777
474.0,0.0613,0.0766,0.0807,0.0618,0.0823,0.0778
475.0,0.0616,0.0767,0.0810,0.0618,0.0825,0.0779
476.0,0.0619,0.0769,0.0812,0.0617,0.0826,0.0780
477.0,0.0620,0.0772,0.0815,0.0616,0.0828,0.0781
478.0,0.0621,0.0776,0.0818,0.0615,0.0830,0.0784
479.0,0.0621,0.0782,0.0822,0.0614,0.0832,0.0787
480.0,0.0620,0.0789,0.0829,0.0612,0.0835,0.0791
481.0,0.0618,0.0796,0.0835,0.0609,0.0840,0.0796
482.0,0.0615,0.0803,0.0842,0.0606,0.0845,0.0802
483.0,0.0611,0.0810,0.0849,0.0604,0.0851,0.0807
484.0,0.0608,0.0816,0.0856,0.0602,0.0858,0.0813
485.0,0.0604,0.0821,0.0862,0.0600,0.0864,0.0817
486.0,0.0601,0.0825,0.0869,0.0599,0.0871,0.0822
487.0,0.0599,0.0828,0.0874,0.0600,0.0878,0.0826
488.0,0.0597,0.0830,0.0878,0.0601,0.0883,0.0829
489.0,0.0598,0.0831,0.0882,0.0604,0.0889,0.0832
490.0,0.0598,0.0831,0.0885,0.0607,0.0895,0.0835
491.0,0.0600,0.0832,0.0888,0.0611,0.0901,0.0840
492.0,0.0601,0.0833,0.0891,0.0613,0.0906,0.0843
493.0,0.0603,0.0835,0.0895,0.0617,0.0914,0.0848
494.0,0.0605,0.0838,0.0898,0.0618,0.0918,0.0852
495.0,0.0606,0.0842,0.0903,0.0620,0.0925,0.0858
496.0,0.0608,0.0848,0.0908,0.0621,0.0932,0.0864
497.0,0.0609,0.0854,0.0915,0.0622,0.0939,0.0870
498.0,0.0610,0.0862,0.0922,0.0621,0.0944,0.0876
499.0,0.0610,0.0870,0.0931,0.0621,0.0951,0.0884
500.0,0.0611,0.0880,0.0941,0.0618,0.0958,0.0890
501.0,0.0610,0.0890,0.0951,0.0616,0.0965,0.0898
502.0,0.0610,0.0901,0.0963,0.0613,0.0973,0.0905
503.0,0.0609,0.0911,0.0974,0.0609,0.0980,0.0912
504.0,0.0608,0.0921,0.0986,0.0606,0.0988,0.0918
505.0,0.0608,0.0930,0.0997,0.0604,0.0996,0.0925
506.0,0.0608,0.0938,0.1008,0.0602,0.1004,0.0930
507.0,0.0609,0.0945,0.1017,0.0601,0.1012,0.0934
508.0,0.0610,0.0951,0.1026,0.0601,0.1019,0.0939
509.0,0.0611,0.0956,0.1033,0.0601,0.1026,0.0943
510.0,0.0614,0.0960,0.1041,0.0603,0.1034,0.0948
511.0,0.0615,0.0964,0.1047,0.0605,0.1042,0.0954
512.0,0.0617,0.0969,0.1053,0.0608,0.1051,0.0960
513.0,0.0619,0.0973,0.1059,0.0612,0.1061,0.0968
514.0,0.0620,0.0978,0.1066,0.0616,0.1070,0.0976
515.0,0.0621,0.0984,0.1073,0.0619,0.1082,0.0985
516.0,0.0621,0.0990,0.1080,0.0623,0.1093,0.0994
517.0,0.0620,0.0998,0.1089,0.0626,0.1106,0.1006
518.0,0.0620,0.1006,0.1098,0.0629,0.1118,0.1016
519.0,0.0619,0.1016,0.1108,0.0631,0.1132,0.1028
520.0,0.0618,0.1028,0.1121,0.0633,0.1147,0.1041
521.0,0.0617,0.1039,0.1133,0.0635,0.1160,0.1053
522.0,0.0616,0.1052,0.1147,0.0635,0.1174,0.1066
523.0,0.0616,0.1064,0.1161,0.0636,0.1189,0.1079
524.0,0.0616,0.1079,0.1179,0.0636,0.1203,0.1091
525.0,0.0615,0.1092,0.1195,0.0636,0.1217,0.1104
526.0,0.0616,0.1106,0.1211,0.0636,0.1231,0.1115
527.0,0.0618,0.1119,0.1228,0.0635,0.1244,0.1126
528.0,0.0621,0.1132,0.1244,0.0634,0.1257,0.1137
529.0,0.0625,0.1146,0.1261,0.0634,0.1271,0.1147
530.0,0.0629,0.1159,0.1278,0.0634,0.1284,0.1157
531.0,0.0633,0.1170,0.1293,0.0635,0.1296,0.1166
532.0,0.0639,0.1184,0.1310,0.0636,0.1309,0.1176
533.0,0.0643,0.1196,0.1324,0.0636,0.1321,0.1186
534.0,0.0648,0.1209,0.1340,0.0638,0.1335,0.1196
535.0,0.0653,0.1223,0.1357,0.0640,0.1350,0.1209
536.0,0.0657,0.1236,0.1371,0.0642,0.1364,0.1220
537.0,0.0660,0.1250,0.1387,0.0644,0.1379,0.1233
538.0,0.0663,0.1263,0.1402,0.0646,0.1394,0.1246
539.0,0.0665,0.1278,0.1419,0.0649,0.1412,0.1261
540.0,0.0665,0.1292,0.1435,0.0651,0.1430,0.1276
541.0,0.0665,0.1305,0.1451,0.0654,0.1448,0.1291
542.0,0.0665,0.1321,0.1468,0.0656,0.1468,0.1307
543.0,0.0664,0.1334,0.1484,0.0659,0.1485,0.1323
544.0,0.0663,0.1349,0.1501,0.0661,0.1506,0.1340
545.0,0.0661,0.1365,0.1520,0.0663,0.1525,0.1357
546.0,0.0660,0.1378,0.1536,0.0665,0.1544,0.1372
547.0,0.0659,0.1395,0.1555,0.0669,0.1562,0.1389
548.0,0.0658,0.1410,0.1574,0.0672,0.1583,0.1406
549.0,0.0658,0.1425,0.1592,0.0675,0.1599,0.1421
550.0,0.0658,0.1441,0.1611,0.0679,0.1620,0.1438
551.0,0.0660,0.1456,0.1630,0.0682,0.1637,0.1454
552.0,0.0662,0.1471,0.1650,0.0686,0.1658,0.1470
553.0,0.0667,0.1489,0.1671,0.0690,0.1679,0.1489
554.0,0.0670,0.1502,0.1689,0.0693,0.1700,0.1504
555.0,0.0675,0.1518,0.1708,0.0695,0.1720,0.1521
556.0,0.0687,0.1543,0.1738,0.0705,0.1752,0.1546
557.0,0.0693,0.1560,0.1758,0.0707,0.1774,0.1564
558.0,0.0699,0.1578,0.1780,0.0709,0.1797,0.1581
559.0,0.0705,0.1599,0.1803,0.0713,0.1821,0.1601
560.0,0.0709,0.1617,0.1824,0.0714,0.1842,0.1617
561.0,0.0714,0.1637,0.1847,0.0717,0.1864,0.1636
562.0,0.0718,0.1656,0.1869,0.0719,0.1885,0.1652
563.0,0.0723,0.1678,0.1894,0.0721,0.1907,0.1673
564.0,0.0727,0.1699,0.1918,0.0722,0.1931,0.1692
565.0,0.0730,0.1719,0.1941,0.0723,0.1952,0.1710
566.0,0.0732,0.1740,0.1966,0.0724,0.1976,0.1729
567.0,0.0734,0.1761,0.1989,0.0725,0.2000,0.1749
568.0,0.0735,0.1779,0.2012,0.0725,0.2022,0.1767
569.0,0.0737,0.1800,0.2035,0.0726,0.2046,0.1787
570.0,0.0739,0.1820,0.2060,0.0728,0.2069,0.1807
571.0,0.0739,0.1839,0.2080,0.0729,0.2092,0.1824
572.0,0.0741,0.1857,0.2104,0.0731,0.2115,0.1844
573.0,0.0741,0.1876,0.2125,0.0733,0.2139,0.1861
574.0,0.0742,0.1891,0.2146,0.0736,0.2160,0.1880
575.0,0.0743,0.1910,0.2167,0.0739,0.2184,0.1898
576.0,0.0744,0.1928,0.2189,0.0743,0.2207,0.1918
577.0,0.0746,0.1943,0.2207,0.0748,0.2229,0.1934
578.0,0.0747,0.1961,0.2229,0.0753,0.2251,0.1954
579.0,0.0749,0.1976,0.2249,0.0757,0.2273,0.1972
580.0,0.0751,0.1993,0.2268,0.0762,0.2296,0.1990
581.0,0.0755,0.2006,0.2286,0.0767,0.2314,0.2006
582.0,0.0759,0.2022,0.2304,0.0772,0.2336,0.2024
583.0,0.0763,0.2037,0.2322,0.0776,0.2355,0.2042
584.0,0.0768,0.2052,0.2339,0.0780,0.2375,0.2058
585.0,0.0772,0.2067,0.2357,0.0784,0.2393,0.2075
586.0,0.0776,0.2083,0.2375,0.0788,0.2412,0.2090
587.0,0.0779,0.2098,0.2393,0.0790,0.2428,0.2105
588.0,0.0782,0.2114,0.2409,0.0793,0.2446,0.2120
589.0,0.0785,0.2131,0.2429,0.0797,0.2465,0.2137
590.0,0.0786,0.2145,0.2444,0.0799,0.2480,0.2149
591.0,0.0789,0.2161,0.2462,0.0801,0.2496,0.2165
592.0,0.0790,0.2174,0.2479,0.0803,0.2510,0.2177
593.0,0.0792,0.2189,0.2494,0.0804,0.2527,0.2191
594.0,0.0794,0.2200,0.2510,0.0805,0.2539,0.2202
595.0,0.0795,0.2213,0.2523,0.0804,0.2553,0.2214
596.0,0.0797,0.2226,0.2539,0.0804,0.2568,0.2228
597.0,0.0799,0.2236,0.2550,0.0804,0.2579,0.2237
598.0,0.0800,0.2247,0.2564,0.0803,0.2591,0.2246
599.0,0.0801,0.2258,0.2576,0.0803,0.2602,0.2255
600.0,0.0802,0.2269,0.2589,0.0803,0.2614,0.2265
601.0,0.0803,0.2277,0.2600,0.0803,0.2624,0.2272
602.0,0.0804,0.2288,0.2611,0.0804,0.2635,0.2281
603.0,0.0806,0.2295,0.2622,0.0805,0.2643,0.2288
604.0,0.0807,0.2303,0.2631,0.0806,0.2653,0.2295
605.0,0.0809,0.2311,0.2641,0.0807,0.2661,0.2302
606.0,0.0811,0.2319,0.2649,0.0808,0.2671,0.2309
607.0,0.0812,0.2327,0.2659,0.0810,0.2680,0.2317
608.0,0.0813,0.2333,0.2666,0.0811,0.2687,0.2323
609.0,0.0814,0.2340,0.2676,0.0813,0.2696,0.2330
610.0,0.0816,0.2346,0.2683,0.0815,0.2703,0.2335
611.0,0.0817,0.2353,0.2690,0.0817,0.2711,0.2343
612.0,0.0818,0.2357,0.2695,0.0819,0.2717,0.2347
613.0,0.0820,0.2363,0.2702,0.0820,0.2725,0.2355
614.0,0.0822,0.2367,0.2708,0.0821,0.2732,0.2360
615.0,0.0824,0.2371,0.2712,0.0822,0.2737,0.2365
616.0,0.0825,0.2375,0.2718,0.0824,0.2743,0.2370
617.0,0.0827,0.2379,0.2721,0.0825,0.2748,0.2375
618.0,0.0827,0.2384,0.2726,0.0826,0.2754,0.2380
619.0,0.0827,0.2388,0.2730,0.0827,0.2758,0.2383
620.0,0.0827,0.2391,0.2732,0.0827,0.2761,0.2387
621.0,0.0826,0.2393,0.2736,0.0828,0.2763,0.2388
622.0,0.0825,0.2396,0.2737,0.0830,0.2766,0.2393
623.0,0.0823,0.2398,0.2740,0.0830,0.2769,0.2394
624.0,0.0822,0.2397,0.2741,0.0831,0.2769,0.2394
625.0,0.0821,0.2399,0.2742,0.0832,0.2771,0.2396
626.0,0.0820,0.2397,0.2740,0.0832,0.2770,0.2396
627.0,0.0819,0.2396,0.2738,0.0831,0.2770,0.2397
628.0,0.0819,0.2394,0.2737,0.0831,0.2769,0.2394
629.0,0.0819,0.2391,0.2734,0.0831,0.2767,0.2394
630.0,0.0819,0.2387,0.2730,0.0831,0.2764,0.2390
631.0,0.0819,0.2382,0.2723,0.0829,0.2758,0.2387
632.0,0.0818,0.2379,0.2719,0.0828,0.2754,0.2383
633.0,0.0818,0.2372,0.2713,0.0827,0.2748,0.2377
634.0,0.0816,0.2367,0.2707,0.0827,0.2741,0.2372
635.0,0.0815,0.2359,0.2698,0.0826,0.2732,0.2363
636.0,0.0814,0.2352,0.2689,0.0825,0.2723,0.2357
637.0,0.0813,0.2345,0.2680,0.0824,0.2713,0.2348
638.0,0.0812,0.2335,0.2670,0.0824,0.2703,0.2338
639.0,0.0811,0.2327,0.2661,0.0823,0.2692,0.2330
640.0,0.0810,0.2316,0.2647,0.0822,0.2679,0.2319
641.0,0.0809,0.2305,0.2635,0.0820,0.2666,0.2310
642.0,0.0808,0.2295,0.2622,0.0817,0.2653,0.2298
643.0,0.0805,0.2281,0.2606,0.0815,0.2637,0.2285
644.0,0.0804,0.2271,0.2594,0.0813,0.2625,0.2273
645.0,0.0802,0.2257,0.2578,0.0810,0.2607,0.2261
646.0,0.0799,0.2244,0.2562,0.0806,0.2591,0.2247
647.0,0.0797,0.2230,0.2546,0.0803,0.2575,0.2231
648.0,0.0794,0.2214,0.2526,0.0799,0.2555,0.2216
649.0,0.0792,0.2199,0.2509,0.0796,0.2537,0.2200
650.0,0.0790,0.2183,0.2490,0.0792,0.2518,0.2185
651.0,0.0786,0.2166,0.2471,0.0788,0.2497,0.2166
652.0,0.0784,0.2148,0.2449,0.0784,0.2475,0.2147
653.0,0.0781,0.2131,0.2429,0.0780,0.2453,0.2131
654.0,0.0778,0.2113,0.2407,0.0776,0.2430,0.2110
655.0,0.0774,0.2093,0.2384,0.0772,0.2407,0.2091
656.0,0.0771,0.2077,0.2364,0.0769,0.2385,0.2071
657.0,0.0766,0.2056,0.2339,0.0764,0.2360,0.2051
658.0,0.0760,0.2036,0.2315,0.0760,0.2334,0.2030
659.0,0.0756,0.2015,0.2291,0.0757,0.2310,0.2008
660.0,0.0752,0.1993,0.2265,0.0753,0.2284,0.1987
661.0,0.0748,0.1972,0.2241,0.0750,0.2258,0.1965
662.0,0.0744,0.1949,0.2214,0.0746,0.2232,0.1942
663.0,0.0740,0.1928,0.2190,0.0743,0.2208,0.1922
664.0,0.0737,0.1904,0.2162,0.0740,0.2181,0.1899
665.0,0.0734,0.1879,0.2134,0.0737,0.2153,0.1877
666.0,0.0731,0.1855,0.2107,0.0733,0.2127,0.1853
667.0,0.0728,0.1831,0.2077,0.0730,0.2099,0.1830
668.0,0.0725,0.1806,0.2048,0.0726,0.2070,0.1807
669.0,0.0722,0.1782,0.2021,0.0723,0.2043,0.1783
670.0,0.0718,0.1759,0.1993,0.0720,0.2017,0.1762
671.0,0.0715,0.1735,0.1965,0.0718,0.1989,0.1738
672.0,0.0711,0.1712,0.1936,0.0715,0.1961,0.1715
673.0,0.0707,0.1687,0.1908,0.0713,0.1933,0.1692
674.0,0.0703,0.1664,0.1880,0.0710,0.1905,0.1668
675.0,0.0698,0.1640,0.1851,0.0708,0.1877,0.1646
676.0,0.0694,0.1616,0.1822,0.0705,0.1848,0.1622
677.0,0.0690,0.1592,0.1794,0.0703,0.1821,0.1599
678.0,0.0686,0.1571,0.1769,0.0700,0.1796,0.1579
679.0,0.0681,0.1546,0.1739,0.0697,0.1769,0.1556
680.0,0.0677,0.1522,0.1712,0.0693,0.1742,0.1535
681.0,0.0673,0.1499,0.1685,0.0690,0.1714,0.1511
682.0,0.0669,0.1475,0.1656,0.0685,0.1687,0.1490
683.0,0.0666,0.1452,0.1629,0.0681,0.1660,0.1469
684.0,0.0661,0.1430,0.1602,0.0677,0.1634,0.1445
685.0,0.0657,0.1407,0.1575,0.0673,0.1607,0.1424
686.0,0.0653,0.1385,0.1550,0.0669,0.1580,0.1403
687.0,0.0649,0.1363,0.1523,0.0664,0.1554,0.1379
688.0,0.0645,0.1340,0.1496,0.0659,0.1528,0.1358
689.0,0.0642,0.1322,0.1474,0.0656,0.1504,0.1338
690.0,0.0638,0.1300,0.1448,0.0651,0.1478,0.1316
691.0,0.0634,0.1279,0.1425,0.0647,0.1451,0.1294
692.0,0.0630,0.1259,0.1400,0.0643,0.1427,0.1273
693.0,0.0627,0.1238,0.1376,0.0639,0.1401,0.1252
694.0,0.0624,0.1219,0.1353,0.0634,0.1376,0.1231
695.0,0.0620,0.1199,0.1329,0.0630,0.1352,0.1211
696.0,0.0617,0.1180,0.1307,0.0626,0.1327,0.1190
697.0,0.0613,0.1162,0.1286,0.0622,0.1303,0.1170
698.0,0.0610,0.1143,0.1263,0.0618,0.1280,0.1151
699.0,0.0608,0.1125,0.1242,0.0614,0.1257,0.1131
700.0,0.0604,0.1108,0.1222,0.0610,0.1234,0.1112
701.0,0.0601,0.1091,0.1201,0.0606,0.1212,0.1094
702.0,0.0599,0.1074,0.1182,0.0603,0.1191,0.1076
703.0,0.0597,0.1057,0.1163,0.0600,0.1171,0.1058
704.0,0.0594,0.1041,0.1145,0.0597,0.1151,0.1042
705.0,0.0592,0.1026,0.1125,0.0593,0.1131,0.1025
706.0,0.0591,0.1010,0.1107,0.0589,0.1113,0.1010
707.0,0.0589,0.0996,0.1089,0.0587,0.1094,0.0994
708.0,0.0588,0.0981,0.1072,0.0584,0.1076,0.0979
709.0,0.0587,0.0966,0.1054,0.0581,0.1058,0.0963
710.0,0.0585,0.0953,0.1038,0.0578,0.1040,0.0949
711.0,0.0583,0.0940,0.1021,0.0576,0.1024,0.0935
712.0,0.0582,0.0927,0.1007,0.0573,0.1008,0.0921
713.0,0.0580,0.0915,0.0992,0.0572,0.0993,0.0909
714.0,0.0577,0.0903,0.0977,0.0570,0.0978,0.0896
715.0,0.0576,0.0893,0.0965,0.0569,0.0964,0.0885
716.0,0.0573,0.0882,0.0950,0.0567,0.0950,0.0873
717.0,0.0571,0.0871,0.0938,0.0566,0.0936,0.0862
718.0,0.0568,0.0860,0.0926,0.0565,0.0924,0.0852
719.0,0.0566,0.0850,0.0912,0.0564,0.0912,0.0841
720.0,0.0563,0.0840,0.0901,0.0563,0.0900,0.0832
721.0,0.0561,0.0830,0.0889,0.0562,0.0889,0.0823
722.0,0.0559,0.0819,0.0876,0.0561,0.0877,0.0813
723.0,0.0557,0.0810,0.0865,0.0560,0.0867,0.0805
724.0,0.0555,0.0800,0.0854,0.0559,0.0858,0.0797
725.0,0.0553,0.0790,0.0843,0.0558,0.0848,0.0790
726.0,0.0551,0.0780,0.0831,0.0557,0.0837,0.0781
727.0,0.0550,0.0771,0.0821,0.0556,0.0828,0.0774
728.0,0.0549,0.0762,0.0809,0.0556,0.0819,0.0766
729.0,0.0548,0.0754,0.0800,0.0555,0.0810,0.0759
730.0,0.0546,0.0745,0.0790,0.0554,0.0802,0.0752
731.0,0.0546,0.0738,0.0781,0.0554,0.0794,0.0745
732.0,0.0544,0.0729,0.0771,0.0554,0.0784,0.0737
733.0,0.0543,0.0721,0.0761,0.0553,0.0775,0.0730
734.0,0.0542,0.0715,0.0754,0.0553,0.0768,0.0724
735.0,0.0543,0.0711,0.0749,0.0554,0.0764,0.0721
736.0,0.0540,0.0700,0.0736,0.0554,0.0750,0.0710
737.0,0.0539,0.0693,0.0728,0.0553,0.0741,0.0703
738.0,0.0538,0.0687,0.0721,0.0553,0.0735,0.0698
739.0,0.0538,0.0680,0.0713,0.0552,0.0727,0.0692
740.0,0.0537,0.0674,0.0706,0.0552,0.0719,0.0686
741.0,0.0536,0.0668,0.0698,0.0551,0.0711,0.0680
742.0,0.0535,0.0662,0.0691,0.0550,0.0705,0.0674
743.0,0.0534,0.0656,0.0684,0.0550,0.0697,0.0669
744.0,0.0533,0.0651,0.0678,0.0549,0.0690,0.0664
745.0,0.0532,0.0645,0.0671,0.0547,0.0683,0.0658
746.0,0.0532,0.0641,0.0665,0.0546,0.0677,0.0653
747.0,0.0531,0.0636,0.0659,0.0544,0.0670,0.0647
748.0,0.0531,0.0631,0.0653,0.0543,0.0664,0.0643
749.0,0.0530,0.0626,0.0648,0.0542,0.0657,0.0637
750.0,0.0529,0.0621,0.0642,0.0539,0.0651,0.0632
751.0,0.0528,0.0617,0.0637,0.0538,0.0645,0.0627
